Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2
BusinessIntelligence,BigData,62,0.044457808,9,5,0,0
DataScience,BigData,13,0.004191468,0,0,0,0
ArtificialIntelligence,BigData,31,0.009449732,0,0,0,0
R,BigData,97,0.023651162,0,0,0,0
Developer,BigData,35,0.007272274,0,0,0,0
DataWarehouse,BigData,2,6.38E-04,0,0,0,0
BusinessIntelligence,DataWarehouse,1,3.70E-04,0,0,0,0
DataScience,DataWarehouse,1,7.94E-04,0,0,0,0
ArtificialIntelligence,DataWarehouse,1,3.15E-04,0,0,0,0
R,DataWarehouse,5,0.002010939,0,0,0,0
Developer,DataWarehouse,2,7.60E-04,0,0,0,0
BusinessIntelligence,Developer,12,0.001984346,0,0,0,0
DataScience,Developer,11,0.00357565,0,0,0,0
ArtificialIntelligence,Developer,18,0.003796045,0,0,0,0
R,Developer,53,0.008413001,0,0,0,0
BusinessIntelligence,R,41,0.009808384,0,0,0,0
DataScience,R,37,0.01712963,0,0,0,0
ArtificialIntelligence,R,44,0.009604318,0,0,0,0
BusinessIntelligence,ArtificialIntelligence,14,0.004473762,0,0,0,0
DataScience,ArtificialIntelligence,3,4.41E-04,0,0,0,0
BusinessIntelligence,DataScience,5,0.001439263,0,0,0,0
DataMining,BigData,22,0.007202381,0,0,0,0
DataMining,DataScience,7,0.00362963,0,0,0,0
BusinessIntelligence,Design,8,0.001228171,0,0,0,0
Marketing,R,65,0.02077678,0,0,0,0
Statistics,Architect,2,2.50E-04,0,0,0,0
ComputerScience,Architect,2,4.60E-04,0,0,0,0
Prototype,Architect,2,0.001149425,0,0,0,0
Statistics,Prototype,2,9.66E-04,0,0,0,0
ComputerScience,Prototype,3,0.004,0,0,0,0
Statistics,ComputerScience,18,0.031304348,18,1,0,0
R,Design,37,0.005709877,0,0,0,0
Development,Developer,56,0.028859604,16,5,0,0
ETL,Java,4,0.002213614,0,0,0,0
MySQL,Java,6,0.002697842,0,0,0,0
Python,Java,74,0.036545161,0,0,0,0
NLP,Java,1,7.82E-05,0,0,0,0
Tools,Java,6,0.001308044,0,0,0,0
SQL,Java,29,0.013096017,0,0,0,0
NoSQL,Java,11,0.006696181,0,0,0,0
BigData,Java,37,0.0109921,0,0,0,0
ETL,BigData,6,0.003090659,0,0,0,0
MySQL,BigData,2,1.86E-04,0,0,0,0
Python,BigData,61,0.015409654,0,0,0,0
NLP,BigData,1,4.85E-05,0,0,0,0
Tools,BigData,8,0.001443001,0,0,0,0
SQL,BigData,20,0.003865182,0,0,0,0
NoSQL,BigData,16,0.008791209,0,0,0,0
ETL,NoSQL,1,5.92E-04,0,0,0,0
MySQL,NoSQL,2,0.001282051,0,0,0,0
Python,NoSQL,10,0.002854289,0,0,0,0
NLP,NoSQL,3,0.003010033,0,0,0,0
Tools,NoSQL,7,0.007614607,0,0,0,0
SQL,NoSQL,12,0.00959041,0,0,0,0
ETL,SQL,5,0.004162504,0,0,0,0
MySQL,SQL,5,0.00225469,0,0,0,0
Python,SQL,125,0.12549293,4,5,0,0
NLP,SQL,2,3.76E-04,0,0,0,0
Tools,SQL,8,0.002798548,0,0,0,0
ETL,Tools,1,3.89E-04,0,0,0,0
MySQL,Tools,7,0.010311448,0,0,0,0
Python,Tools,21,0.008264462,0,0,0,0
NLP,Tools,1,2.20E-04,0,0,0,0
ETL,NLP,1,8.36E-04,0,0,0,0
MySQL,NLP,1,4.53E-04,0,0,0,0
Python,NLP,25,0.025207711,0,0,0,0
ETL,Python,3,6.42E-04,0,0,0,0
MySQL,Python,17,0.011170377,0,0,0,0
ETL,MySQL,3,0.007211538,0,0,0,0
Assurance,MachineLearning,10,0.003316859,0,0,0,0
Network,Programming,1,2.58E-04,0,0,0,0
Modeling,Programming,5,0.007649939,0,0,0,0
Network,Modeling,3,0.005263158,0,0,0,0
Cassandra,Hadoop,12,0.040540539,0,0,0,0
DevOps,Hadoop,7,0.002527337,0,0,0,0
Cassandra,DevOps,1,3.18E-04,0,0,0,0
CRM,R,7,7.26E-04,0,0,0,0
CRM,BigData,12,0.004229323,0,0,0,0
Node.js,Java,4,0.00383693,0,0,0,0
Docker,Java,22,0.019344524,0,0,0,0
Orchestration,Java,2,0.002877698,0,0,0,0
MachineLearning,Java,33,0.007665883,0,0,0,0
Linux,Java,12,0.003011544,0,0,0,0
DataScience,Java,7,0.001958433,0,0,0,0
Development,Java,29,0.01046775,0,0,0,0
Programming,Java,10,0.004182701,0,0,0,0
Node.js,Programming,2,0.003100775,0,0,0,0
Docker,Programming,3,0.001162791,0,0,0,0
Orchestration,Programming,2,0.009302326,0,0,0,0
MachineLearning,Programming,20,0.00910208,0,0,0,0
Linux,Programming,4,0.001081666,0,0,0,0
DataScience,Programming,4,0.002067183,0,0,0,0
Development,Programming,22,0.019473726,0,0,0,1
Node.js,Development,4,0.003690888,0,0,0,0
Docker,Development,6,0.001384083,0,0,0,0
Orchestration,Development,2,0.002768166,0,0,0,0
MachineLearning,Development,39,0.010299366,0,0,0,0
Linux,Development,6,7.24E-04,0,0,0,0
DataScience,Development,7,0.001883891,0,0,0,0
Node.js,DataScience,2,0.002962963,0,0,0,0
Docker,DataScience,2,4.94E-04,0,0,0,0
Orchestration,DataScience,2,0.008888889,0,0,0,0
MachineLearning,DataScience,62,0.083583385,15,4,0,0
Linux,DataScience,2,2.58E-04,0,0,0,0
Node.js,Linux,2,0.001550388,0,0,0,0
Docker,Linux,19,0.023320414,0,0,0,0
Orchestration,Linux,2,0.004651163,0,0,0,0
MachineLearning,Linux,8,7.28E-04,0,0,0,0
Node.js,MachineLearning,2,5.22E-04,0,0,0,0
Docker,MachineLearning,3,1.96E-04,0,0,0,0
Orchestration,MachineLearning,2,0.001565558,0,0,0,0
Node.js,Orchestration,2,0.053333335,0,0,0,0
Docker,Orchestration,2,0.008888889,0,0,0,0
Node.js,Docker,2,0.002962963,0,0,0,0
MachineLearning,BigData,66,0.019027816,0,0,0,0
MachineLearning,R,136,0.040760916,0,0,1,0
BusinessIntelligence,MachineLearning,8,6.49E-04,0,0,0,0
Akka,Elasticsearch,3,0.065217391,0,0,0,0
Cassandra,Elasticsearch,7,0.044384059,0,0,0,0
Scala,Elasticsearch,4,0.005997002,0,0,0,0
DataEngineer,Elasticsearch,5,0.004347826,0,0,0,0
Akka,DataEngineer,3,0.024,0,0,0,0
Cassandra,DataEngineer,8,0.021333333,0,0,0,0
Scala,DataEngineer,20,0.055172414,0,0,1,0
Akka,Scala,3,0.05172414,0,0,0,0
Cassandra,Scala,8,0.045977011,13,5,0,0
Akka,Cassandra,3,0.125,0,0,0,0
Architect,BigData,15,0.004329587,0,0,0,0
Tools,Architect,7,0.004266806,0,0,0,0
Sqoop,DataEngineer,2,0.004,0,0,0,0
Kafka,DataEngineer,7,0.01568,0,0,0,0
HBase,DataEngineer,20,0.057142857,0,0,0,0
Hive,DataEngineer,14,0.024123076,0,0,0,0
Spark,DataEngineer,11,0.007446154,0,0,0,0
Python,DataEngineer,18,0.004808906,0,0,0,0
MachineLearning,DataEngineer,7,7.67E-04,0,0,0,0
DataScience,DataEngineer,4,0.001422222,0,0,0,0
Development,DataEngineer,11,0.003349481,0,0,0,0
R,DataEngineer,43,0.016657658,0,0,0,0
Hadoop,DataEngineer,12,0.007783784,0,0,0,0
Sqoop,Hadoop,7,0.041385137,0,0,0,0
Kafka,Hadoop,12,0.03891892,0,0,0,0
HBase,Hadoop,23,0.063827217,0,0,0,0
Hive,Hadoop,49,0.249584198,0,0,0,0
Spark,Hadoop,64,0.21288982,2,3,0,0
Python,Hadoop,52,0.033896606,0,0,0,0
Scala,Hadoop,13,0.01968779,0,0,0,0
