count,skill
6,RedHat
7,Debian
17,CentOS
2,Nagios
51,DevOps
6,Monitoring
34,Linux
53,Design
11,Architect
3,Visualization
39,MachineLearning
21,Marketing
101,Developer
15,Hive
10,Spark
23,DataEngineer
83,BigData
28,Python
103,R
2,NLP
9,Programming
2,WebApplications
5,FullStack
83,LeSS
5,AngularJS
2,Node.js
6,jQuery
25,FrontEnd
4,Git
8,AmazonWebServices
8,HTML5
5,Spring
7,Elasticsearch
38,Java
6,Scala
65,Cloud
31,Hadoop
12,SQL
7,Statistics
3,RiskManagement
2,Simulation
44,Development
19,BusinessIntelligence
5,DataWarehouse
2,Prototype
21,DataScience
2,Testing
1,ResponsiveDesign
21,Sass
24,CSS
1,TDD
2,RubyOnRails
16,Tools
11,Network
17,DataMining
7,Modeling
10,AWS
1,OLAP
7,ETL
2,Tableau
4,Excel
9,ComputerScience
9,NoSQL
12,PHP
23,JavaScript
5,Cassandra
4,HBase
16,Pig
3,Mahout
2,MATLAB
9,C++
11,C
13,ArtificialIntelligence
13,SoftwareEngineer
22,Security
2,SPSS
24,Ansible
2,Math
5,Database
1,RDF
5,Memcached
4,MongoDB
7,MySQL
2,RabbitMQ
2,Nginx
2,Varnish
10,ERP
6,Finance
3,Adobe
11,UX
2,Visio
13,UI
1,UserInterface
1,Balsamiq
2,Unity
1,Photoshop
4,React
6,Bash
2,Ruby
6,RHEL
2,SystemAdministration
19,Puppet
6,Apache
2,Hardware
3,Administrator
2,Swing
6,MapReduce
3,Oracle
6,VMware
5,Win32
2,API
2,Delphi
1,.Net
1,C+
1,SVN
3,Impala
3,Storage
1,DistributedComputing
1,ElasticMapReduce
8,Perl
5,SDLC
2,Storm
5,HTTP
27,Automation
2,GitHub
3,EC2
1,Lambda
2,Django
3,Flask
3,JSON
1,XML
2,Gradle
3,Tomcat
2,JBehave
3,Jira
1,Atlassian
11,Agile
6,Scrum
20,Backend
1,GO
10,HTML
1,Redis
3,Backbone
1,Marionette
5,ScrumMaster
2,CSS3
2,Gulp
1,TypeScript
2,Angular
1,Hybris
1,Bower
1,Ember
1,Flux
2,Symfony
1,Zend
2,Jenkins
5,Solr
6,ContinuousIntegration
2,Drupal
23,IoT
1,AJAX
1,Backbone.js
1,Wordpress
2,SharePoint
1,Waterfall
1,Polymer
1,Resin
8,SoftwareDevelopment
1,BusinessObjects
1,.Net-Framework
7,Docker
9,OpenStack
16,Chef
6,Shell
2,JBoss
2,CloudFoundry
4,Scripting
2,SaltStack
13,Microservices
2,Orchestration
1,Assurance
3,Reporting
11,Robotics
1,Akka
1,AEM
1,SAS
1,ApacheSpark
1,REST
1,SOAP
1,Google
1,Golang
1,ActiveDirectory
1,Geolocation
1,CRM
3,SoftwareEngineering
1,Maven
1,WebServices
1,Eclipse
2,OpenGL
2,OpenCV
1,DataModeling
1,ProductManagement
1,WebAnalytics
1,SIEM
1,ImageProcessing
1,Android
1,DatabaseAdministration
1,Java8
4,DataManagement
3,ABAP
2,Networking
2,S3
2,Rackspace
3,BPM
1,Unix
1,SDK
1,TTS
1,OOP
4,??
1,Azure
1,Windows
