count,skill
1,CoreOS
1,SystemAdministration
1,Ruby
9,CentOS
14,DevOps
9,Python
1,Bash
11,Linux
4,Programming
1,Unix
4,BusinessIntelligence
8,MachineLearning
1,DataScience
14,Development
3,DataMining
39,R
4,Security
8,BigData
32,Developer
16,Java
3,StatisticalAnalysis
3,Tools
9,DataEngineer
9,Architect
5,Hadoop
1,DataModeling
13,Cloud
12,Design
2,Statistics
1,Perl
1,HDFS
1,Hive
3,Pig
2,Spark
5,Marketing
1,LinkedData
4,SoftwareEngineer
1,SemanticWeb
3,RDF
5,SQL
4,NoSQL
2,Oracle
1,TOGAF
3,Apache
3,Memcached
4,MongoDB
6,MySQL
3,Solr
15,JavaScript
9,CSS
7,HTML
1,SharePoint
8,HTML5
2,SoftwareEngineering
1,UX
2,UI
3,CSS3
7,jQuery
5,Debian
2,Elasticsearch
4,PHP
2,Node.js
2,Git
2,Adobe
3,Tableau
5,Database
3,Docker
1,Virtualization
1,PostgreSQL
1,Monitoring
2,FinTech
1,LXC
1,Storage
2,RedHat
1,VMware
5,Administrator
4,C++
1,Android
1,QNX
4,Win32
2,Windows
3,Networking
2,C
2,API
1,OpenGL
1,OpenCL
2,Reporting
7,ETL
1,RDBMS
1,Mahout
1,MapReduce
1,HBase
2,Cassandra
1,jUnit
1,JBehave
34,LeSS
1,GO
12,Sass
9,AngularJS
1,RelationalDatabase
1,TypeScript
2,FullStack
2,Angular
11,FrontEnd
2,Scrum
3,Agile
1,React
5,Gulp
1,NPM
3,Network
3,DataManagement
1,Salesforce
1,DOM
2,HTTP
2,ResponsiveDesign
1,XHTML
1,CAD
2,Nodejs
2,ComputerScience
1,ResponsiveWebDesign
4,Backend
2,TwitterBootstrap
1,REST
1,WebServices
1,SOAP
1,SoapUI
1,Jasmine
1,Bower
3,SoftwareDevelopment
1,Jenkins
2,Ansible
3,ERP
16,IoT
2,Finance
1,DataWarehouse
1,.Net
14,Automation
10,Microservices
1,WebAnalytics
1,Visualization
3,Simulation
1,RHEL
5,ArtificialIntelligence
2,Clojure
2,LISP
2,Haskell
2,Prototype
2,Modeling
1,Storm
1,SAS
3,ContinuousIntegration
3,ABAP
2,BPM
1,ProductManagement
