count,skill
179,Cloud
2,DesignPatterns
10,RDF
217,Java
4,IIS
62,Tools
2,XSLT
4,VisualStudio
5,XML
78,C
73,SQL
106,JavaScript
146,Marketing
10,TCP
60,Statistics
77,Pig
22,MapReduce
10,AmazonWebServices
29,SoftwareEngineering
40,AWS
12,Azure
187,Design
80,Security
5,SemanticWeb
81,Administrator
38,Database
67,Architect
30,PostgreSQL
33,Memcached
87,FrontEnd
44,HTML
272,Developer
15,Solr
67,MySQL
20,MongoDB
56,CSS
50,Apache
5,RabbitMQ
19,Redis
24,Monitoring
22,Storage
10,Node.js
18,Nginx
2,AmazonS3
3,Socket.IO
69,Sass
14,API
64,PHP
56,Backend
131,DevOps
14,TypeScript
30,AngularJS
215,Python
66,HTML5
7,Nodejs
14,React
73,Docker
24,Elasticsearch
9,Symfony
28,Perl
8,Backbone
4,Fabric
4,ANT
1,Couchbase
47,Scala
116,SoftwareEngineer
4,JVM
182,Development
534,R
247,Linux
86,Puppet
11,SaltStack
135,Ansible
12,Nagios
52,Debian
47,Chef
58,Git
34,jQuery
23,Jira
23,Prototype
2,Wordpress
242,CentOS
1,Magento
6,WebFrontend
3,ReactNative
495,LeSS
59,UX
13,UserInterface
51,UI
22,Testing
5,ABAP
9,Adobe
4,Photoshop
4,Unity
2,SoftwareArchitecture
165,MachineLearning
10,Android
56,Programming
19,HTTP
31,FullStack
122,BusinessIntelligence
4,Tester
24,ERP
7,ProductManagement
34,CSS3
53,Automation
10,Hardware
7,Simulation
103,RedHat
45,Oracle
47,Windows
51,RHEL
35,NoSQL
42,Jenkins
7,DNS
46,Network
7,VPN
2,SCOM
19,Unix
35,ComputerScience
72,DataMining
2,Troubleshooting
4,ActiveDirectory
29,VMware
34,Bash
19,Scripting
36,CRM
24,Tomcat
4,LAMP
5,Firewall
17,SystemAdministration
75,Spark
15,Shell
2,QNX
1,LDAP
8,JBoss
4,Solaris
4,VSphere
2,HAProxy
1,IPsec
7,Maven
5,ShellScripting
17,GO
6,Confluence
11,OpenStack
3,Atlassian
288,BigData
26,SoftwareDevelopment
5,HPC
22,DataWarehouse
2,SysAdmin
10,ContinuousIntegration
52,C++
5,Varnish
1,SOA
4,RubyOnRails
2,ExtJS
4,AIX
8,Virtualization
9,SVN
46,Scrum
3,OTRS
5,Cisco
23,Reporting
119,Hadoop
2,ContinuousDeployment
1,VoIP
4,SharePoint
23,Hybris
4,PaaS
10,SaaS
7,Networking
13,ApacheSpark
10,Storm
24,Visualization
5,GitHub
1,NAS
3,ExchangeServer
3,PowerShell
16,.Net
19,Win32
5,C+
3,WinForms
1,ReverseEngineering
2,SDK
1,Cocoa
1,Delphi
15,Mahout
40,HBase
24,Cassandra
73,Hive
19,Kafka
106,DataEngineer
9,Cloudera
1,IntegrationTesting
9,Assurance
9,Sqoop
17,Ruby
89,Agile
1,ElasticMapReduce
21,Tableau
91,IoT
21,MATLAB
3,Clojure
19,ETL
17,HDFS
7,Impala
6,WebServices
3,ZooKeeper
25,DataManagement
22,REST
2,SDLC
1,VirtualMachine
8,DataVisualization
20,SAS
6,EC2
4,Lambda
65,ArtificialIntelligence
17,SPSS
10,NLP
1,Compiler
4,SOAP
8,AJAX
2,LinearProgramming
60,DataScience
9,Flask
5,Django
1,Pyramid
4,Selenium
4,JBehave
3,Cucumber
2,SoapUI
4,Groovy
4,jUnit
19,Angular
12,Gulp
7,Bower
5,OOP
6,ResponsiveDesign
2,Zend
1,Debugging
2,TFS
16,Excel
4,Google
9,NumPy
13,StatisticalAnalysis
6,JEE
23,ScrumMaster
4,Eclipse
2,ReactJS
9,ImageProcessing
3,NPM
3,Jasmine
1,UnitTesting
16,ProjectManagement
3,AEM
2,OSGi
2,Java8
2,JSON
3,Swift
1,Lucene
3,NetSuite
3,Gradle
2,CoffeeScript
1,OpenCV
1,Sitecore
1,Ember
1,AdobeCQ
2,DOM
2,Rails
5,MVC
1,OCaml
5,ASP.Net
5,Microservices
21,Finance
1,ExtremeProgramming
1,JSP
1,SpringMVC
4,VersionControl
2,Symfony2
3,D3
2,SystemAnalysis
3,Polymer
9,Resin
1,TOGAF
5,MsOffice
4,Waterfall
10,Spring
1,PMP
5,OLAP
1,MobileDevelopment
5,Mesos
6,FinTech
2,LXC
4,WebSphere
1,Hibernate
1,RSpec
3,ApacheKafka
4,Akka
25,??
35,Modeling
1,???
2,DataDriven
3,RiskManagement
7,SoftwareDesign
2,DataAnalytic
2,MPI
24,Robotics
4,Pandas
3,SciPy
1,iPython
2,ARM
3,BusinessAnalysis
10,Math
3,TDD
1,DistributedComputing
1,DSL
4,Networks
2,GIS
1,Geolocation
1,WebApplications
3,Salesforce
1,ScientificComputing
2,YARN
1,DataModeling
4,DataAnalysis
2,Wireless
3,WebAnalytics
2,STL
4,Boost
7,GPU
1,ParallelProcessing
1,Metadata
1,EDI
1,Qt
1,OSPF
1,D3.js
1,Wave
1,CustomerSupport
1,NUnit
1,WebForms
1,Knockout.js
1,ROM
1,Laravel
3,LinearAlgebra
1,NetworkProgramming
1,CoreOS
1,Mockito
1,BDD
1,Backbone.js
2,CUDA
1,OpenCL
3,Stata
1,ROS
1,IPC
1,CAD
2,RDBMS
4,Orchestration
1,GoogleAnalytics
1,RelationalDatabase
1,Golang
2,S3
2,Objective-C
1,DBA
1,Apex
1,JSF
1,FunctionalProgramming
1,QuantitativeFinance
2,FPGA
1,Flux
1,Bioinformatics
1,SQLAlchemy
