count,skill
3,SoftwareEngineer
11,DataMining
1,SoftwareDevelopment
15,BigData
6,Development
5,Architect
1,Robotics
1,Assurance
1,MapReduce
2,Mahout
21,R
5,Elasticsearch
1,Geolocation
1,Tableau
2,Spark
4,Hadoop
7,SQL
2,NoSQL
3,RDF
3,Oracle
2,Database
1,ReactJS
6,RabbitMQ
7,Redis
5,Monitoring
6,MySQL
7,Memcached
24,FrontEnd
9,PHP
1,Zend
4,Doctrine
2,Symfony
20,jQuery
3,DataEngineer
3,Java
1,Apache
10,JavaScript
9,CSS
5,HTML
2,Solr
27,Developer
2,Backend
3,React
3,Backbone
5,Linux
4,CentOS
7,Tools
1,RHEL
1,Puppet
1,SaltStack
23,DevOps
1,Ansible
1,Chef
1,Hardware
1,VMware
3,Pig
1,Hive
3,HBase
2,Lucene
2,NLP
7,Python
1,Kafka
2,Cassandra
1,MongoDB
1,Storm
1,Neo4j
1,ZeroMQ
1,Riak
1,jUnit
1,Testing
1,JBehave
1,Mockito
90,LeSS
2,UserInterface
8,Scrum
23,Sass
14,Photoshop
2,Balsamiq
5,Angular
2,Gulp
2,OOP
18,Design
15,Git
2,Marketing
3,ExtJS
2,AngularJS
4,HTML5
1,WebSecurity
2,CSS3
4,UX
2,Network
1,Jira
1,Wordpress
1,Magento
1,AJAX
1,BizTalk
1,REST
1,JSON
2,TypeScript
1,Security
1,SVN
1,Node.js
4,MachineLearning
2,BusinessIntelligence
24,Cloud
22,Automation
16,Microservices
8,ScrumMaster
1,Modeling
1,DSL
1,Scala
1,FunctionalProgramming
1,DataDriven
1,Reporting
5,ERP
1,DOM
1,HTTP
1,ResponsiveDesign
1,C
2,C++
2,Windows
1,Azure
1,Unix
1,OpenGL
1,OpenCV
1,ApacheSpark
1,ArtificialIntelligence
1,Programming
1,Agile
1,FullStack
1,WebApplications
