Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2
Programming,Statistics,1,0.033333335,0,0,0,0
SQL,PerformanceTesting,1,0.013888889,0,0,0,0
DataAnalysis,Visio,1,0.333333343,3,0,0,0
Security,C++,1,0.041666668,0,0,0,0
Analyst,Administrator,1,2.04E-04,0,0,0,0
ProjectManagement,Administrator,1,0.008333334,0,0,0,0
Analytic,Security,1,0.00177305,0,0,0,0
Excel,Reporting,2,9.88E-04,0,0,0,0
Development,SQL,1,1.24E-04,0,0,0,0
GO,MsOffice,1,0.027777778,5,0,0,0
Excel,MsOffice,1,0.005555556,0,0,1,1
SQL,Analyst,2,1.13E-04,0,0,0,0
Excel,VBA,1,0.011111111,0,0,0,0
SQL,ProjectManagement,2,0.00462963,1,3,0,0
Programming,Modeling,1,0.01,0,0,0,0
Design,DataAnalysis,1,0.005208333,0,0,1,1
Reporting,GO,1,0.001234568,0,0,0,0
GO,ProjectManagement,1,0.013888889,0,0,0,0
Development,Modeling,1,8.93E-04,0,0,0,0
Development,Excel,1,2.98E-04,0,0,0,0
SQL,Reporting,1,1.03E-04,0,0,0,0
Analytic,Database,1,4.09E-04,0,0,0,0
Finance,C++,1,0.00152439,0,0,0,0
Analysis,Design,2,2.36E-04,0,0,0,0
Analyst,GO,1,3.40E-04,0,0,0,0
Developer,PerformanceTesting,1,0.055555556,3,0,0,0
Python,Modeling,1,0.008333334,0,0,0,0
Analyst,Modeling,1,2.04E-04,0,0,0,0
SQL,MsOffice,1,0.002314815,0,0,0,0
Excel,Analyst,3,6.12E-04,0,0,0,0
SAS,Design,1,3.26E-04,0,0,0,0
Analysis,C++,1,9.43E-04,0,0,0,0
Excel,ProjectManagement,2,0.011111111,1,1,0,0
Statistics,Python,1,0.027777778,4,0,0,0
Analysis,Visio,1,0.003773585,0,0,0,0
Reporting,Administrator,1,7.41E-04,0,0,0,0
Development,Developer,1,4.96E-04,3,0,0,0
Analyst,Statistics,1,6.80E-04,0,0,1,1
Design,Database,1,6.01E-04,0,0,0,0
Analytic,Analysis,2,1.61E-04,0,0,0,0
Excel,PerformanceTesting,1,0.033333335,0,0,0,0
MsOffice,Administrator,1,0.016666668,5,0,0,0
Analyst,Developer,1,1.13E-04,0,0,1,1
Development,Statistics,1,0.002976191,0,0,0,0
ProjectManagement,Developer,1,0.00462963,0,0,0,0
Analytic,Finance,1,6.49E-05,0,0,0,0
Database,C++,1,0.009615385,0,0,0,0
Finance,Security,1,0.00101626,0,0,0,0
GO,Administrator,1,0.016666668,5,0,0,0
Analysis,Security,1,6.29E-04,0,0,0,0
SQL,Developer,1,7.72E-04,0,0,0,0
Excel,Administrator,1,0.003333333,0,0,0,0
Reporting,ProjectManagement,1,6.17E-04,0,0,0,0
Development,Programming,1,8.93E-04,0,0,0,0
RiskManagement,Finance,1,4.07E-04,0,0,0,0
SQL,GO,1,0.002314815,0,0,0,0
Analyst,Reporting,3,1.36E-04,2,3,0,0
Analysis,DataAnalysis,1,0.001257862,0,0,0,0
Monitoring,RiskManagement,1,0.003921569,0,0,0,0
ProjectManagement,MsOffice,1,0.013888889,0,0,0,0
Programming,Python,1,0.008333334,0,0,0,0
Analysis,RiskManagement,1,2.52E-04,0,0,0,0
Programming,Analyst,1,2.04E-04,0,0,0,0
Database,Security,1,0.006410256,0,0,0,0
Analyst,MsOffice,1,3.40E-04,0,0,0,0
Excel,SQL,2,0.001851852,0,0,0,0
Analyst,VBA,1,6.80E-04,0,0,0,0
Analysis,Monitoring,1,2.22E-04,0,0,0,0
Development,ProjectManagement,1,7.44E-04,0,0,0,0
Excel,GO,1,0.005555556,0,0,0,0
SAS,Analysis,1,7.86E-05,0,0,0,0
Development,Python,1,7.44E-04,0,0,0,0
Analysis,Finance,2,9.20E-05,0,0,0,0
Reporting,MsOffice,1,0.001234568,0,0,0,0
Development,Analyst,2,7.29E-05,0,0,0,0
Reporting,VBA,1,0.002469136,0,0,0,0
Analyst,ProjectManagement,2,6.80E-04,0,0,0,0
Monitoring,Finance,1,3.59E-04,0,0,0,0
Analyst,Python,1,1.70E-04,0,0,0,0
SAS,Database,1,8.01E-04,0,0,0,0
Development,PerformanceTesting,1,0.008928572,0,0,0,0
Analytic,C++,1,0.002659574,0,0,0,0
Statistics,Modeling,1,0.033333335,0,0,0,0
Database,Finance,1,2.35E-04,0,0,0,0
Design,Visio,1,0.015625,0,0,0,0
ProjectManagement,PerformanceTesting,1,0.083333336,0,0,0,0
Analyst,PerformanceTesting,1,0.002040816,0,0,0,0
Analysis,Database,2,5.81E-04,2,1,0,0
Excel,Developer,1,0.001851852,0,0,0,0
SQL,Administrator,1,0.001388889,0,0,0,0
Statistics,Security,1,0.055555556,4,0,0,0
SAS,SQL,1,2.89E-04,0,0,0,0
Design,MsOffice,1,0.002604167,0,0,0,0
Excel,DataAnalysis,1,0.011111111,0,0,0,0
Excel,RiskManagement,1,0.002222222,0,0,0,0
Reporting,Design,1,1.16E-04,0,0,0,0
Database,Administrator,1,0.003846154,0,0,1,1
Programming,C++,1,0.025,0,0,0,0
SQL,Analysis,2,2.10E-04,0,0,0,0
SAS,Administrator,1,0.002083333,0,0,0,0
DataAnalysis,Developer,1,0.018518519,0,0,0,0
Programming,Analytic,1,0.00106383,0,0,0,0
Security,Modeling,1,0.016666668,4,0,0,0
Analytic,Reporting,1,7.88E-05,0,0,0,0
SQL,Database,1,5.34E-04,0,0,0,0
Analysis,Administrator,1,3.77E-04,0,0,0,0
Design,PerformanceTesting,1,0.015625,0,0,0,0
